Archivo,Accion,Destino,Dias desde modificacion
1.pdf,movido,c:\Users\PC\OneDrive\Documentos\Leslie\2\organizador.py\archivos_organizados\PDF,0
1.png,movido,c:\Users\PC\OneDrive\Documentos\Leslie\2\organizador.py\archivos_organizados\IMAGENES,0
